Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
1,3,15,4,EdTech,Mumbai,159050,875074,Yes,High,5000000
2,4,15,5,AgriTech,Pune,1904038,1600511,No,Low,500000
3,19,11,2,EdTech,Chennai,470005,2209947,Yes,High,5000000
4,4,14,3,E-Commerce,Hyderabad,1596808,1114783,No,Low,500000
5,2,7,9,AI,Pune,1538016,124867,No,Low,500000
6,10,1,1,HealthTech,Kolkata,1166463,1180840,Yes,High,5000000
7,4,10,10,CleanTech,Pune,289555,925749,Yes,High,5000000
8,10,14,4,E-Commerce,Chennai,751141,1877441,Yes,High,5000000
9,20,0,4,EdTech,Bangalore,888909,1781437,Yes,High,5000000
10,17,0,8,AgriTech,Mumbai,1920601,2059824,Yes,High,5000000
11,4,13,6,CleanTech,Chennai,1890195,237626,No,Low,500000
12,19,15,5,AgriTech,Bangalore,1843377,1226229,No,Low,500000
13,5,11,10,AgriTech,Kolkata,1130443,2105735,Yes,High,5000000
14,11,2,4,AgriTech,Chennai,399026,491691,Yes,High,5000000
15,8,10,10,AI,Hyderabad,403689,1075471,Yes,High,5000000
16,17,10,2,FinTech,Kolkata,1914611,555696,No,Low,500000
17,14,4,5,CleanTech,Bangalore,937492,1128903,Yes,High,5000000
18,12,11,10,EdTech,Delhi,1657689,2439088,Yes,High,5000000
19,20,9,3,HealthTech,Bangalore,1108628,705743,No,Low,500000
20,12,13,8,AI,Chennai,1358592,351086,No,Low,500000
21,20,9,10,FinTech,Delhi,637992,854262,Yes,High,5000000
22,12,3,10,HealthTech,Hyderabad,1067629,645160,No,Low,500000
23,14,5,6,E-Commerce,Bangalore,663884,1548204,Yes,High,5000000
24,15,13,7,FinTech,Hyderabad,661177,356237,No,Low,500000
25,4,7,1,AgriTech,Kolkata,977432,986595,Yes,High,5000000
26,3,3,1,E-Commerce,Bangalore,1428946,2230338,Yes,High,5000000
27,2,2,9,HealthTech,Bangalore,1660425,1373595,No,Low,500000
28,2,5,9,CleanTech,Kolkata,711392,237769,No,Low,500000
29,13,2,4,AgriTech,Bangalore,1104647,2370422,Yes,High,5000000
30,9,1,7,FinTech,Pune,356523,252365,No,Low,500000
31,17,15,4,FinTech,Bangalore,1990914,1483460,No,Low,500000
32,20,13,4,AgriTech,Kolkata,1325191,1572592,Yes,High,5000000
33,16,8,5,AI,Kolkata,233089,1103077,Yes,High,5000000
34,17,4,5,EdTech,Chennai,593971,1145482,Yes,High,5000000
35,3,9,4,AgriTech,Hyderabad,1327410,2149469,Yes,High,5000000
